tournament,team,wins,matches,goal_difference,goal_difference_average,win_ratio,continent
Other,Gabon,73.0,171.0,45.0,0.2631578947368421,0.4269005847953216,Africa
Other,Gambia,29.0,129.0,-59.0,-0.4573643410852713,0.2248062015503876,Africa
Other,Georgia,41.0,154.0,-59.0,-0.38311688311688313,0.2662337662337662,Asia
Other,Germany,207.0,317.0,487.0,1.5362776025236593,0.6529968454258676,Europe
Other,Ghana,112.0,217.0,180.0,0.8294930875576036,0.5161290322580645,Africa
Other,Gibraltar,10.0,66.0,-181.0,-2.742424242424242,0.15151515151515152,Europe
Other,Greece,124.0,280.0,23.0,0.08214285714285714,0.44285714285714284,Europe
Other,Greenland,6.0,24.0,-14.0,-0.5833333333333334,0.25,America
Other,Grenada,57.0,154.0,-17.0,-0.11038961038961038,0.37012987012987014,America
Other,Guadeloupe,55.0,131.0,51.0,0.3893129770992366,0.4198473282442748,America
Other,Guam,15.0,85.0,-370.0,-4.352941176470588,0.17647058823529413,Oceania
Other,Guatemala,96.0,246.0,82.0,0.3333333333333333,0.3902439024390244,America
Other,Guernsey,12.0,21.0,23.0,1.0952380952380953,0.5714285714285714,Europe
Other,Guinea,104.0,254.0,59.0,0.23228346456692914,0.4094488188976378,Africa
Other,Guinea-Bissau,31.0,122.0,-79.0,-0.6475409836065574,0.2540983606557377,Africa
Other,Guyana,37.0,116.0,-50.0,-0.43103448275862066,0.31896551724137934,America
Other,Haiti,114.0,238.0,106.0,0.44537815126050423,0.4789915966386555,America
Other,Honduras,133.0,302.0,123.0,0.40728476821192056,0.44039735099337746,America
Other,Hong Kong,67.0,265.0,-129.0,-0.4867924528301887,0.2528301886792453,Asia
Other,Hungary,154.0,325.0,168.0,0.5169230769230769,0.47384615384615386,Europe
Other,Iceland,64.0,241.0,-193.0,-0.8008298755186722,0.26556016597510373,Europe
Other,India,106.0,299.0,-65.0,-0.21739130434782608,0.35451505016722407,Asia
Other,Indonesia,150.0,404.0,-11.0,-0.027227722772277228,0.3712871287128713,Asia
Other,Iran,183.0,294.0,448.0,1.5238095238095237,0.6224489795918368,Asia
Other,Iraq,175.0,355.0,317.0,0.8929577464788733,0.49295774647887325,Asia
Other,Isle of Man,12.0,23.0,15.0,0.6521739130434783,0.5217391304347826,Europe
Other,Israel,87.0,225.0,27.0,0.12,0.38666666666666666,Asia
Other,Italy,177.0,292.0,332.0,1.1369863013698631,0.6061643835616438,Europe
Other,Ivory Coast,127.0,231.0,204.0,0.8831168831168831,0.5497835497835498,Africa
Other,Jamaica,112.0,264.0,42.0,0.1590909090909091,0.42424242424242425,America
Other,Japan,208.0,394.0,362.0,0.9187817258883249,0.5279187817258884,Asia
Other,Jersey,18.0,25.0,27.0,1.08,0.72,Europe
Other,Jordan,88.0,215.0,45.0,0.20930232558139536,0.40930232558139534,Asia
Other,Kazakhstan,26.0,143.0,-130.0,-0.9090909090909091,0.18181818181818182,Asia
Other,Kenya,115.0,314.0,-3.0,-0.009554140127388535,0.3662420382165605,Africa
Other,Kiribati,0.0,10.0,-103.0,-10.3,0.0,Oceania
Other,Kuwait,166.0,350.0,213.0,0.6085714285714285,0.4742857142857143,Asia
Other,Kyrgyzstan,37.0,92.0,-19.0,-0.20652173913043478,0.40217391304347827,Asia
Other,Laos,16.0,124.0,-302.0,-2.435483870967742,0.12903225806451613,Asia
Other,Latvia,77.0,251.0,-73.0,-0.2908366533864542,0.30677290836653387,Europe
Other,Lebanon,53.0,175.0,-54.0,-0.30857142857142855,0.3028571428571429,Asia
Other,Lesotho,29.0,145.0,-117.0,-0.8068965517241379,0.2,Africa
Other,Liberia,46.0,165.0,-97.0,-0.5878787878787879,0.2787878787878788,Africa
Other,Libya,55.0,169.0,26.0,0.15384615384615385,0.3254437869822485,Africa
Other,Liechtenstein,10.0,151.0,-385.0,-2.5496688741721854,0.06622516556291391,Europe
Other,Lithuania,67.0,231.0,-150.0,-0.6493506493506493,0.29004329004329005,Europe
Other,Luxembourg,22.0,259.0,-601.0,-2.3204633204633205,0.08494208494208494,Europe
Other,Macao,15.0,93.0,-214.0,-2.3010752688172045,0.16129032258064516,Asia
Other,Madagascar,50.0,149.0,-58.0,-0.38926174496644295,0.33557046979865773,Africa
Other,Malawi,87.0,279.0,-51.0,-0.1827956989247312,0.3118279569892473,Africa
Other,Malaysia,187.0,491.0,52.0,0.10590631364562118,0.38085539714867617,Asia
Other,Maldives,43.0,131.0,-108.0,-0.8244274809160306,0.3282442748091603,Asia
Other,Mali,110.0,236.0,98.0,0.4152542372881356,0.4661016949152542,Africa
Other,Malta,21.0,267.0,-546.0,-2.044943820224719,0.07865168539325842,Europe
Other,Martinique,66.0,154.0,42.0,0.2727272727272727,0.42857142857142855,America
Other,Mauritania,29.0,152.0,-130.0,-0.8552631578947368,0.19078947368421054,Africa
Other,Mauritius,23.0,144.0,-172.0,-1.1944444444444444,0.1597222222222222,Africa
Other,Mayotte,2.0,10.0,-5.0,-0.5,0.2,Africa
Other,Mexico,208.0,346.0,454.0,1.3121387283236994,0.6011560693641619,America
Other,Moldova,24.0,158.0,-197.0,-1.2468354430379747,0.1518987341772152,Europe
Other,Mongolia,16.0,59.0,-85.0,-1.4406779661016949,0.2711864406779661,Asia
Other,Montenegro,25.0,80.0,-14.0,-0.175,0.3125,Europe
Other,Montserrat,8.0,38.0,-100.0,-2.6315789473684212,0.21052631578947367,America
Other,Morocco,127.0,247.0,208.0,0.8421052631578947,0.5141700404858299,Africa
Other,Mozambique,68.0,198.0,-27.0,-0.13636363636363635,0.3434343434343434,Africa
Other,Myanmar,127.0,274.0,75.0,0.2737226277372263,0.4635036496350365,Asia
Other,Namibia,56.0,176.0,-59.0,-0.3352272727272727,0.3181818181818182,Africa
Other,Nepal,26.0,137.0,-253.0,-1.8467153284671534,0.1897810218978102,Asia
Other,Netherlands,172.0,265.0,424.0,1.6,0.6490566037735849,Europe
Other,New Caledonia,68.0,113.0,254.0,2.247787610619469,0.6017699115044248,Oceania
Other,New Zealand,72.0,143.0,99.0,0.6923076923076923,0.5034965034965035,Oceania
Other,Nicaragua,20.0,112.0,-241.0,-2.1517857142857144,0.17857142857142858,America
Other,Niger,31.0,119.0,-112.0,-0.9411764705882353,0.2605042016806723,Africa
Other,Nigeria,111.0,221.0,163.0,0.7375565610859729,0.502262443438914,Africa
Other,Niue,0.0,1.0,-19.0,-19.0,0.0,Oceania
Other,North Korea,112.0,237.0,156.0,0.6582278481012658,0.47257383966244726,Asia
Other,North Macedonia,40.0,152.0,-47.0,-0.3092105263157895,0.2631578947368421,Europe
Other,Northern Ireland,133.0,518.0,-453.0,-0.8745173745173745,0.25675675675675674,Europe
Other,Northern Mariana Islands,1.0,18.0,-75.0,-4.166666666666667,0.05555555555555555,Oceania
Other,Norway,157.0,409.0,-13.0,-0.03178484107579462,0.38386308068459657,Europe
Other,Oman,91.0,271.0,-21.0,-0.07749077490774908,0.33579335793357934,Asia
Other,Pakistan,22.0,121.0,-201.0,-1.6611570247933884,0.18181818181818182,Asia
Other,Palestine,35.0,130.0,-14.0,-0.1076923076923077,0.2692307692307692,Asia
Other,Panama,81.0,244.0,-62.0,-0.2540983606557377,0.3319672131147541,America
Other,Papua New Guinea,32.0,83.0,76.0,0.9156626506024096,0.3855421686746988,Oceania
Other,Paraguay,94.0,271.0,-48.0,-0.17712177121771217,0.34686346863468637,America
Other,Peru,64.0,218.0,-53.0,-0.24311926605504589,0.29357798165137616,America
Other,Philippines,38.0,156.0,-206.0,-1.3205128205128205,0.24358974358974358,Asia
Other,Poland,125.0,253.0,168.0,0.6640316205533597,0.49407114624505927,Europe
Other,Portugal,161.0,279.0,279.0,1.0,0.5770609318996416,Europe
Other,Puerto Rico,16.0,75.0,-70.0,-0.9333333333333333,0.21333333333333335,America
Other,Qatar,156.0,352.0,154.0,0.4375,0.4431818181818182,Asia
Other,Republic of Ireland,117.0,297.0,99.0,0.3333333333333333,0.3939393939393939,Europe
Other,Romania,159.0,305.0,249.0,0.8163934426229508,0.521311475409836,Europe
Other,Russia,176.0,278.0,354.0,1.2733812949640289,0.6330935251798561,Europe
Other,Rwanda,61.0,172.0,-21.0,-0.12209302325581395,0.3546511627906977,Africa
Other,Réunion,9.0,11.0,34.0,3.090909090909091,0.8181818181818182,Africa
Other,Saint Kitts and Nevis,44.0,120.0,4.0,0.03333333333333333,0.36666666666666664,America
Other,Saint Lucia,48.0,141.0,-75.0,-0.5319148936170213,0.3404255319148936,America
